metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
경기도,화성시 동탄구,,2019-04-02,2019,540000000,30000000,10000000
경기도,,,2002-11-01,2002,190000000,39000000,11700000
경기도,,,2008-08-21,2008,210000000,39000000,11700000
경기도,,,2010-07-26,2010,250000000,45000000,13500000
경기도,,,2014-01-01,2014,300000000,55000000,19000000
경기도,,,2018-01-26,2018,500000000,55000000,19000000
경기도,,,2019-04-02,2019,690000000,55000000,19000000
인천광역시,,,2002-11-01,2002,190000000,39000000,11700000
인천광역시,,,2008-08-21,2008,210000000,39000000,11700000
인천광역시,,,2010-07-26,2010,250000000,45000000,13500000
인천광역시,,,2014-01-01,2014,300000000,55000000,19000000
인천광역시,,,2018-01-26,2018,500000000,55000000,19000000
인천광역시,,,2019-04-02,2019,690000000,55000000,19000000
광주광역시,,,2002-11-01,2002,150000000,30000000,9000000
광주광역시,,,2008-08-21,2008,160000000,30000000,9000000
광주광역시,,,2010-07-26,2010,180000000,30000000,9000000
광주광역시,,,2014-01-01,2014,240000000,38000000,13000000
광주광역시,,,2018-01-26,2018,390000000,38000000,13000000
광주광역시,,,2019-04-02,2019,540000000,38000000,13000000
대구광역시,,,2002-11-01,2002,150000000,30000000,9000000
대구광역시,,,2008-08-21,2008,160000000,30000000,9000000
대구광역시,,,2010-07-26,2010,180000000,30000000,9000000
대구광역시,,,2014-01-01,2014,240000000,38000000,13000000
대구광역시,,,2018-01-26,2018,390000000,38000000,13000000
대구광역시,,,2019-04-02,2019,540000000,38000000,13000000
대전광역시,,,2002-11-01,2002,150000000,30000000,9000000
대전광역시,,,2008-08-21,2008,160000000,30000000,9000000
대전광역시,,,2010-07-26,2010,180000000,30000000,9000000
대전광역시,,,2014-01-01,2014,240000000,38000000,13000000
대전광역시,,,2018-01-26,2018,390000000,38000000,13000000
대전광역시,,,2019-04-02,2019,540000000,38000000,13000000
울산광역시,,,2002-11-01,2002,150000000,30000000,9000000
울산광역시,,,2008-08-21,2008,160000000,30000000,9000000
