metro,city_gu,dong_ri_eup_myeon,start_date,end_date,limit_deposit,small_amount
인천광역시,서구,청라동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,대곡동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,불로동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,마전동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,금곡동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,오류동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,왕길동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,당하동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,원당동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,청라1동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,청라2동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,청라3동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,청라동,2008-08-21,2010-07-25,40000000,14000000
인천광역시,서구,대곡동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,불로동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,마전동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,금곡동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,오류동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,왕길동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,당하동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,원당동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,청라1동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,청라2동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,청라3동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,청라동,2010-07-26,2013-12-31,55000000,19000000
인천광역시,서구,대곡동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,불로동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,마전동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,금곡동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,오류동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,왕길동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,당하동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,원당동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,청라1동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,청라2동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,청라3동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,청라동,2014-01-01,2016-03-30,60000000,20000000
인천광역시,서구,대곡동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,불로동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,마전동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,금곡동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,오류동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,왕길동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,당하동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,원당동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,청라1동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,청라2동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,청라3동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,청라동,2016-03-31,2018-09-17,60000000,20000000
인천광역시,서구,대곡동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,불로동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,마전동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,금곡동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,오류동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,왕길동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,당하동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,원당동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,청라1동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,청라2동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,청라3동,2018-09-18,2021-05-10,60000000,20000000
인천광역시,서구,청라동,2018-09-18,2021-05-10,60000000,20000000
